dropout_probability,conv2_output_features,fc1_output_features,kernel_size,training_time,train_loss,test_loss
0.0,20,50,3,1.6558374666666666,0.1295042783021927,0.09336415023803711
0.0,20,50,5,1.75758625,0.056014638394117355,0.09981466954549154
0.0,20,50,7,1.70228245,0.05190393328666687,0.08497109400431316
0.0,20,50,9,1.5615510666666668,0.057302407920360565,0.07205041211446127
0.0,40,50,3,1.8994483166666667,0.054187413305044174,0.06937354157765706
0.0,40,50,5,1.9160741,0.26689329743385315,0.07785953451792399
0.0,40,50,7,1.81523,0.05175309628248215,0.07249482746124268
0.0,40,50,9,1.6812259500000002,0.0930304303765297,0.0739480847676595
0.0,60,50,3,2.0486935,0.041477274149656296,0.06503215026855469
0.0,60,50,5,2.016114566666667,0.009683718904852867,0.06067570686340332
0.0,60,50,7,1.9021636666666666,0.026528462767601013,0.07282167320251465
0.0,60,50,9,1.7553058,0.06780321151018143,0.07584772656758626
0.0,80,50,3,2.1321028,0.06035664305090904,0.06422806758880616
0.0,80,50,5,2.125456116666667,0.057182472199201584,0.064381174659729
0.0,80,50,7,1.9717194666666666,0.0750867947936058,0.09198979873657226
0.0,80,50,9,1.8002333666666668,0.15731720626354218,0.0671211955388387
0.1,20,50,3,1.7477114833333334,0.059845250099897385,0.08115983047485352
0.1,20,50,5,1.7729388833333333,0.13501931726932526,0.07805721734364827
0.1,20,50,7,1.73711115,0.1285294145345688,0.09911697069803874
0.1,20,50,9,1.5929358166666667,0.12807276844978333,0.08765763645172119
0.1,40,50,3,1.9405662666666668,0.13233649730682373,0.07233446299235026
0.1,40,50,5,1.9560566333333333,0.060263197869062424,0.0666345287958781
0.1,40,50,7,1.8518817166666668,0.09029707312583923,0.07613798872629801
0.1,40,50,9,1.6953125166666667,0.14712463319301605,0.07787326583862304
0.1,60,50,3,2.0760996333333335,0.012216782197356224,0.0710286860148112
0.1,60,50,5,2.065086,0.05672316253185272,0.06259358266194662
0.1,60,50,7,1.9320659666666666,0.022134320810437202,0.06745442409515381
0.1,60,50,9,1.7587755333333335,0.17253848910331726,0.07140709126790365
0.1,80,50,3,2.178010866666667,0.07463619112968445,0.06868969478607177
0.1,80,50,5,2.158974016666667,0.3185650110244751,0.05928785502115885
0.1,80,50,7,2.0078486,0.018975162878632545,0.0814645482381185
0.1,80,50,9,1.8164411333333335,0.07786022871732712,0.07316638412475586
0.2,20,50,3,1.7748848166666666,0.1681710183620453,0.09237326583862304
0.2,20,50,5,1.8008950166666666,0.10361611843109131,0.07598696753184
0.2,20,50,7,1.74227015,0.03504191339015961,0.09874557088216146
0.2,20,50,9,1.5839049,0.2420330047607422,0.0955006612141927
0.2,40,50,3,1.9279477666666667,0.21819071471691132,0.07398084863026937
0.2,40,50,5,1.9529750666666668,0.059952933341264725,0.06410252227783203
0.2,40,50,7,1.838284,0.048477496951818466,0.0774010560353597
0.2,40,50,9,1.7021004666666668,0.21402452886104584,0.07777031281789144
0.2,60,50,3,2.0759246333333334,0.19199618697166443,0.07715991109212239
0.2,60,50,5,2.06874375,0.03063390590250492,0.06394354565938314
0.2,60,50,7,1.9304387666666665,0.14260128140449524,0.0730732536315918
0.2,60,50,9,1.75610505,0.07760248333215714,0.0672041982014974
0.2,80,50,3,2.1813275666666665,0.07153574377298355,0.06541999111175537
0.2,80,50,5,2.171896916666667,0.05509816110134125,0.06935303319295247
0.2,80,50,7,1.9974416,0.03215252235531807,0.06971268730163574
0.2,80,50,9,1.8357337,0.05089987441897392,0.06806884860992432
0.3,20,50,3,1.7618952499999998,0.0854889377951622,0.09486716117858887
0.3,20,50,5,1.8024356833333333,0.12870608270168304,0.07976928596496582
0.3,20,50,7,1.7483839666666665,0.06480623781681061,0.10189252624511719
0.3,20,50,9,1.6000583166666666,0.242511585354805,0.10218759892781576
0.3,40,50,3,1.9945066666666666,0.08026738464832306,0.08219427598317464
0.3,40,50,5,1.9721465500000002,0.03249701112508774,0.060224050903320316
0.3,40,50,7,1.85069225,0.10339787602424622,0.08128040873209635
0.3,40,50,9,1.6967712666666666,0.2507854998111725,0.08192003072102864
0.3,60,50,3,2.0789960833333336,0.1400556117296219,0.07332893555959066
0.3,60,50,5,2.07120595,0.09575304388999939,0.06066515108744303
0.3,60,50,7,1.9503039000000002,0.13447065651416779,0.0816158613204956
0.3,60,50,9,1.7706604833333333,0.22185634076595306,0.078832688331604
0.3,80,50,3,2.2098584333333333,0.09820779412984848,0.06987089761098227
0.3,80,50,5,2.1804261,0.036957934498786926,0.07054909661610921
0.3,80,50,7,2.0068943,0.022319244220852852,0.07314363473256429
0.3,80,50,9,1.8264357166666667,0.1801210343837738,0.07252582639058432
0.4,20,50,3,1.7649505833333334,0.06922562420368195,0.10075017967224122
0.4,20,50,5,1.7972648999999998,0.03738483041524887,0.07243091786702474
0.4,20,50,7,1.7455461333333333,0.3048681616783142,0.09729719231923421
0.4,20,50,9,1.5915899166666667,0.5214144587516785,0.10057491594950357
0.4,40,50,3,1.9353748499999999,0.06782307475805283,0.08036659272511801
0.4,40,50,5,1.95390925,0.10862675309181213,0.070293954149882
0.4,40,50,7,1.8553269166666666,0.029869548976421356,0.10331447105407715
0.4,40,50,9,1.72198055,0.18621990084648132,0.0918462101618449
0.4,60,50,3,2.10487535,0.08902548998594284,0.0740076276143392
0.4,60,50,5,2.0692293833333335,0.06736596673727036,0.06545670077006022
0.4,60,50,7,1.9489774333333334,0.08281601220369339,0.07599437274932862
0.4,60,50,9,1.7523634666666665,0.15357305109500885,0.08223906637827555
0.4,80,50,3,2.1860624,0.06881178915500641,0.06920459022521973
0.4,80,50,5,2.1780006,0.04116477444767952,0.06054607302347819
0.4,80,50,7,1.9930407666666667,0.11535600572824478,0.07703290786743164
0.4,80,50,9,1.8302663666666668,0.03851606324315071,0.07751729806264242
0.5,20,50,3,1.7663101833333335,0.1854076087474823,0.11216118748982748
0.5,20,50,5,1.8059229333333335,0.1497037261724472,0.09936986071268718
0.5,20,50,7,1.74751835,0.20357096195220947,0.13435289675394693
0.5,20,50,9,1.5941140833333334,0.33499911427497864,0.12228880233764648
0.5,40,50,3,1.9509131,0.03878389671444893,0.09403158162434896
0.5,40,50,5,1.9403943833333335,0.15210288763046265,0.07227403100331624
0.5,40,50,7,1.8434182666666667,0.05228058248758316,0.08683779697418213
0.5,40,50,9,1.69907705,0.2820354700088501,0.09929977938334147
0.5,60,50,3,2.0875544666666666,0.12050334364175797,0.07967888272603353
0.5,60,50,5,2.068707733333333,0.05126534402370453,0.0712011412302653
0.5,60,50,7,1.9532321833333335,0.0310837235301733,0.08356964333852132
0.5,60,50,9,1.7729509666666667,0.11215567588806152,0.07996084957122802
0.5,80,50,3,2.1959108,0.13398616015911102,0.07339309202829997
0.5,80,50,5,2.2089844833333334,0.04119633510708809,0.06404601440429687
0.5,80,50,7,1.9900222666666667,0.13636481761932373,0.0808303363164266
0.5,80,50,9,1.8258617833333333,0.2604999542236328,0.0757653336207072
